enormously,tremendously,tremendously,correct
provisions,stipulations,provision,wrong
haphazardly,randomly,artfully,wrong
prominent,conspicuous,influential,wrong
zenith,pinnacle,pinnacle,correct
flawed,imperfect,fundamentally,wrong
urgently,desperately,assistance,wrong
consumed,eaten,eaten,correct
advent,coming,introduction,wrong
concisely,succinctly,succinctly,correct
salutes,greetings,salute,wrong
solitary,alone,confinement,wrong
hasten,accelerate,accelerate,correct
perseverance,endurance,tenacity,wrong
fanciful,imaginative,imaginative,correct
showed,demonstrated,showing,wrong
constantly,continually,continually,correct
issues,subjects,issue,wrong
furnish,supply,furnished,wrong
costly,expensive,expensive,correct
recognized,acknowledged,recognised,wrong
spot,location,spots,wrong
make,earn,making,wrong
often,frequently,frequently,correct
easygoing,relaxed,affable,wrong
debate,argument,argument,correct
narrow,thin,thin,correct
arranged,planned,planned,correct
infinite,limitless,limitless,correct
showy,striking,flashy,wrong
levied,imposed,levies,wrong
deftly,skillfully,skillfully,correct
distribute,circulate,distributing,wrong
discrepancies,differences,inconsistencies,wrong
prolific,productive,renowned,wrong
unmatched,unequaled,unequaled,correct
peculiarly,uniquely,uniquely,correct
hue,color,tint,wrong
hind,rear,legs,wrong
highlight,accentuate,highlights,wrong
hastily,hurriedly,hurriedly,correct
temperate,mild,climates,wrong
grin,smile,smile,correct
verbally,orally,assaulted,wrong
physician,doctor,doctor,correct
essentially,basically,basically,correct
keen,sharp,eager,wrong
situated,positioned,located,wrong
principal,major,main,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,task,wrong
unlikely,improbable,likely,wrong
halfheartedly,apathetically,guiltily,wrong
annals,chronicles,tigernach,wrong
wildly,furiously,exuberant,wrong
hailed,acclaimed,lauded,wrong
command,mastery,commander,wrong
concocted,devised,concocting,wrong
prospective,potential,potential,correct
generally,broadly,usually,wrong
sustained,prolonged,sustaining,wrong
perilous,dangerous,dangerous,correct
tranquillity,peacefulness,peacefulness,correct
dissipate,disperse,dissipates,wrong
primarily,chiefly,chiefly,correct
colloquial,conversational,slang,wrong
resolved,settled,resolve,wrong
feasible,possible,viable,wrong
expeditiously,rapidly,speedily,wrong
percentage,proportion,proportion,correct
terminated,ended,terminate,wrong
uniform,alike,uniforms,wrong
figure,solve,figures,wrong
sufficient,enough,enough,correct
fashion,manner,designer,wrong
marketed,sold,sold,correct
bigger,larger,larger,correct
roots,origins,origins,correct
normally,ordinarily,usually,wrong
