recognized,acknowledged,acknowledged,correct
prolific,productive,productive,correct
generally,broadly,broadly,correct
percentage,proportion,proportion,correct
perilous,dangerous,dangerous,correct
essentially,basically,basically,correct
often,frequently,frequently,correct
spot,location,location,correct
issues,subjects,subjects,correct
easygoing,relaxed,relaxed,correct
concocted,devised,devised,correct
discrepancies,differences,differences,correct
dissipate,disperse,disperse,correct
concisely,succinctly,succinctly,correct
sufficient,enough,enough,correct
slowly,gradually,gradually,correct
unmatched,unequaled,unequaled,correct
situated,positioned,positioned,correct
prospective,potential,potential,correct
hasten,accelerate,accelerate,correct
